region_id,heightroof,groundelev,ld01,ld02,ld03,ld04,ld05,ld06,ld07,ld08,ld09,ld10,ld11,alonepct,far,volume,assessland,assesstot,respct,offpct,retpct,facpct,strpct,totalemission,directemission
36061014500,294.80158857375,83.04166666666667,0.0,0.0,188901.0,308085.0,22795.0,0.0,0.0,627729.0,0.0,0.0,0.0,0.7277025908270952,9.148817003773388,215079677.17688677,365.1013036923425,1705.2556901464911,0.44271328500006524,0.12020850115718085,0.047176515872623524,0.0,9.763430646637251e-05,73655.9,13417.100000000002
36061014601,151.43405056875002,68.125,0.0,0.0,42091.0,89170.0,31305.0,0.0,0.0,3473.0,0.0,0.0,0.0,0.0,10.05711308788899,21687178.167773582,246.46911267834665,1341.3816814121983,0.8262017530674488,0.07227495743688292,0.08429742860684615,0.0,0.0,10274.3,3923.9999999999995
36061014602,196.45565217391302,59.04347826086956,0.0,0.0,169371.0,181552.0,0.0,0.0,0.0,2517.0,0.0,0.0,0.0,0.1942451335445903,11.130313490267088,49705560.6128032,185.76886034404708,1259.3481694205523,0.9134227679517872,0.004750504461478157,0.033884203403341924,0.0,0.0,25758.600000000002,17355.500000000004
36061014700,202.976812004,44.6,0.0,0.0,0.0,146463.0,0.0,0.0,0.0,80298.0,30000.0,0.0,0.0,0.2245278683289129,6.785236075572225,37922699.8749518,178.28456034989736,941.9818702996172,0.6798943165589857,0.0014326844925679491,0.019790676530148366,0.0,0.0012932043917290022,11380.899999999998,4696.099999999999
36061014801,166.57336579,87.9,0.0,5645.0,88808.0,107849.0,0.0,0.0,0.0,28003.0,0.0,0.0,0.0,0.32720956991815203,11.106411063589588,34688705.39464101,202.08120101604393,1477.9828922515794,0.806916479466054,0.014268166148134653,0.07651507391720117,0.0,0.0,14629.300000000001,6001.699999999998
36061014802,154.1909756097561,88.21951219512195,0.0,0.0,231298.0,212574.0,20379.0,0.0,0.0,10238.0,0.0,4531.0,0.0,0.015698718216358397,9.5589411715586,68239085.94787063,157.36717256064466,1122.6764978497765,0.8556267804401209,0.024447228213440537,0.03799189503909652,0.0,0.003969709914381632,23732.899999999998,11454.4
36061014900,180.6727272727273,76.6969696969697,0.0,0.0,163005.0,227757.0,1120285.0,0.0,0.0,168898.0,0.0,0.0,0.0,0.5094928703023016,4.179081458023924,133880593.87454797,481.08819931604904,1103.1527776206958,0.5726601057142048,0.16659452211319586,0.03298352127238778,0.0,0.002788782255488007,59539.30000000001,20104.89999999999
36061015001,145.3063636363636,95.22727272727273,0.0,0.0,149090.0,67939.0,0.0,0.0,0.0,43009.0,0.0,0.0,0.0,0.3392273436959214,8.952895346064805,30822276.07041809,221.9543682077235,964.8425268614587,0.9057692282911378,0.02387920070203381,0.013530387317001511,0.0,0.00044027450793417616,12324.399999999996,7245.199999999999
36061015002,166.9486888267347,104.12244897959184,0.0,4146.0,477035.0,79074.0,0.0,0.0,0.0,79266.0,0.0,0.0,0.0,0.2244648729283323,10.154809615321467,80174002.92329757,223.2306695167164,1251.4303861796564,0.9029845644137997,0.012130644293520355,0.014617935288242734,0.0,0.0,36863.60000000001,21051.700000000008
36061015100,200.97932723653847,34.57692307692308,0.0,0.0,131098.0,388113.0,223134.0,0.0,121300.0,256620.0,0.0,0.0,0.0,0.5740436414598331,6.646839810223474,166391982.2367144,187.0657451585116,955.9000236551174,0.5852195918950577,0.09704303739533954,0.017453011742061948,0.0,0.00018586606738289565,46125.5,12869.799999999997
36061015200,130.39836488827584,18.93103448275862,0.0,15106.0,179151.0,129332.0,22055.0,20140.0,0.0,411097.0,0.0,14502.0,0.0,0.6233126059063689,4.295554744036705,45030251.68061874,154.12914859176908,452.76521987457403,0.7809929255766189,0.009139770237884069,0.005157630884480894,0.02544280230591667,0.0,20847.2,11951.000000000002
36061015300,170.73489869698113,79.56603773584905,0.0,0.0,314965.0,284706.0,134067.0,0.0,0.0,24334.0,0.0,0.0,0.0,0.23516104011228484,10.346150497578066,124836981.34156078,332.6050493884486,1448.09223134478,0.7246672150023836,0.13166725465493545,0.06169758566959326,0.0,0.0002615028419149658,50828.2,25290.600000000002
36061015400,165.983673185,34.166666666666664,0.0,15103.0,130946.0,160058.0,17623.0,0.0,0.0,10070.0,0.0,0.0,0.0,0.23014979029358898,10.0196285200719,45242178.62217779,188.03639304973038,981.8292210904733,0.8744160652906577,0.02986080048987129,0.02378584635550591,0.008388268443725796,0.0,17773.899999999998,9352.500000000002
36061015500,271.3169652257895,56.05263157894737,0.0,0.0,85712.0,1042872.0,0.0,0.0,0.0,99800.0,0.0,0.0,0.0,0.6143119741058171,6.585558750358194,111435972.75151865,135.8527439302368,699.761327076875,0.885243080772276,0.008439112217607927,0.02085654473431612,0.0,5.933547971190152e-05,42590.899999999994,12425.199999999999
36061015601,160.10710119647058,18.235294117647058,0.0,0.0,46901.0,58801.0,22660.0,0.0,0.0,48177.0,0.0,30655.0,0.0,0.2858721777657654,8.074176858403236,27201067.6368057,197.21318184889523,872.843547593077,0.667235930447403,0.039943308739623685,0.04276890540557504,0.0,0.010794891091689327,7693.7,3686.6000000000004
36061015602,242.8122191,16.5,0.0,0.0,0.0,41755.0,0.0,0.0,0.0,131190.0,0.0,0.0,0.0,0.7585648616612217,3.381479661163954,18577621.08134916,46.62754054757293,379.9244557518286,0.6483028675980232,0.11021357363930165,0.0,0.0,0.007113421453121526,3174.3999999999996,1822.5
36061015700,155.1673593156364,82.18181818181819,0.0,0.0,378747.0,213271.0,2554.0,0.0,0.0,25356.0,0.0,0.0,0.0,0.2330109303015834,10.202930017679472,85494725.94440429,264.018882838007,1195.4362829231782,0.9214941403131216,0.00884779043180784,0.02607681607922237,0.0,0.002072226099203141,36646.3,24582.399999999998
36061015801,130.7551298121875,85.875,0.0,0.0,267294.0,57045.0,0.0,0.0,0.0,97190.0,0.0,0.0,0.0,0.3172640553793452,8.126980587338,41321417.06193517,135.2864310640549,835.1567887381414,0.8600020783721443,0.001176673892318138,0.010369967756041145,0.0,0.0,18213.3,10663.6
36061015802,163.49511367333332,63.833333333333336,0.0,0.0,50359.0,29303.0,0.0,0.0,0.0,22615.0,0.0,0.0,0.0,0.5467407139435063,10.723447109320766,10005339.341221163,59.19952677532583,909.7719917479003,0.835907881564095,0.007856763819315403,0.017622784159188592,0.0,0.0,5599.5,3509.8
